type,name,description,url
url,Univision_WL2_77_pacor2ts03_adobeconnect_com,api,pacor2ts03.adobeconnect.com
url,Univision_WL2_78_pacor2ts04_adobeconnect_com,api,pacor2ts04.adobeconnect.com
url,Univision_WL2_79_pagead2_googlesyndication_com,api,pagead2.googlesyndication.com
url,Univision_WL2_80_partner_googleadservices_com,api,partner.googleadservices.com
url,Univision_WL2_81_partners_tremorhub_com,api,partners.tremorhub.com
url,Univision_WL2_82_password_tpnsr_com,api,password.tpnsr.com
url,Univision_WL2_83_passwordsleakcheckpa_googleapis_co,api,passwordsleakcheck-pa.googleapis.com
url,Univision_WL2_84_patch_manageengine_com,api,patch.manageengine.com
url,Univision_WL2_85_patchdatabase_manageengine_com,api,patchdatabase.manageengine.com
url,Univision_WL2_86_patchdb_manageengine_com,api,patchdb.manageengine.com
url,Univision_WL2_87_pbs_twimg_com,api,pbs.twimg.com
url,Univision_WL2_88_pendostatic5077612317114368_stora,api,pendo-static-5077612317114368.storage.googleapis.com
url,Univision_WL2_89_peoplepa_clients6_google_com,api,people-pa.clients6.google.com
url,Univision_WL2_90_peoplestackpa_clients6_google_com,api,peoplestack-pa.clients6.google.com
url,Univision_WL2_91_peoplestackwebexperimentspa_client,api,peoplestackwebexperiments-pa.clients6.google.com
url,Univision_WL2_92_pi_pardot_com,api,pi.pardot.com
url,Univision_WL2_93_pipedream_wistia_com,api,pipedream.wistia.com
url,Univision_WL2_94_pippio_com,api,pippio.com
url,Univision_WL2_95_pixel_adsafeprotected_com,api,pixel.adsafeprotected.com
url,Univision_WL2_96_pixel_advertising_com,api,pixel.advertising.com
url,Univision_WL2_97_pixel_everesttech_net,api,pixel.everesttech.net
url,Univision_WL2_98_pixel_mathtag_com,api,pixel.mathtag.com
url,Univision_WL2_99_pixel_onaudience_com,api,pixel.onaudience.com
url,Univision_WL2_100_pixel_quantserve_com,api,pixel.quantserve.com
url,Univision_WL2_101_pixel_rubiconproject_com,api,pixel.rubiconproject.com
url,Univision_WL2_102_pixelsync_sitescout_com,api,pixel-sync.sitescout.com
url,Univision_WL2_103_platform_twitter_com,api,platform.twitter.com
url,Univision_WL2_104_play_google_com,api,play.google.com
url,Univision_WL2_105_playconsoleappspa_clients6_google_,api,playconsoleapps-pa.clients6.google.com
url,Univision_WL2_106_playconsoleplatformpa_clients6_goo,api,playconsoleplatform-pa.clients6.google.com
url,Univision_WL2_107_player_vimeo_com,api,player.vimeo.com
url,Univision_WL2_108_pm_w55c_net,api,pm.w55c.net
url,Univision_WL2_109_pmp_mxptint_net,api,pmp.mxptint.net
url,Univision_WL2_110_postback_trafficmotor_com,api,postback.trafficmotor.com
url,Univision_WL2_111_prbh_ybp_yahoo_com,api,pr-bh.ybp.yahoo.com
url,Univision_WL2_112_prg_smartadserver_com,api,prg.smartadserver.com
url,Univision_WL2_113_prod_smassets_net,api,prod.smassets.net
url,Univision_WL2_114_prodingestion_tracking_v2_yieldlov,api,prod-ingestion.tracking.v2.yieldlove-ad-serving.net
url,Univision_WL2_115_pt_ispot_tv,api,pt.ispot.tv
url,Univision_WL2_116_pti_store_microsoft_com,api,pti.store.microsoft.com
url,Univision_WL2_117_pubads_g_doubleclick_net,api,pubads.g.doubleclick.net
url,Univision_WL2_118_pubmaticmatch_dotomi_com,api,pubmatic-match.dotomi.com
url,Univision_WL2_119_pubsubshard1131_zendesk_com,api,pubsub-shard1-13-1.zendesk.com
url,Univision_WL2_120_pubsubshard1132_zendesk_com,api,pubsub-shard1-13-2.zendesk.com
url,Univision_WL2_121_pubsubshard1133_zendesk_com,api,pubsub-shard1-13-3.zendesk.com
url,Univision_WL2_122_pubsubshard1134_zendesk_com,api,pubsub-shard1-13-4.zendesk.com
url,Univision_WL2_123_px_ads_linkedin_com,api,px.ads.linkedin.com
url,Univision_WL2_124_px_moatads_com,api,px.moatads.com
url,Univision_WL2_125_px_owneriq_net,api,px.owneriq.net
url,Univision_WL2_126_qaus1_contentsquare_net,api,q-aus1.contentsquare.net
url,Univision_WL2_127_r3_i_lencr_org,api,r3.i.lencr.org
url,Univision_WL2_128_r3_o_lencr_org,api,r3.o.lencr.org
url,Univision_WL2_129_r4_res_office365_com,api,r4.res.office365.com
url,Univision_WL2_130_r4sn9gv7ened_c_2mdn_net,api,r4---sn-9gv7ened.c.2mdn.net
url,Univision_WL2_131_r5sn9gv7lnle_c_2mdn_net,api,r5---sn-9gv7lnle.c.2mdn.net
url,Univision_WL2_132_redirector_gvt1_com,api,redirector.gvt1.com
url,Univision_WL2_133_remote_tpnsr_com,api,remote.tpnsr.com
url,Univision_WL2_134_rest_iad05_braze_com,api,rest.iad-05.braze.com
url,Univision_WL2_135_reveal_clearbit_com,api,reveal.clearbit.com
url,Univision_WL2_136_revokedisrgrootx1_letsencrypt_org,api,revoked-isrgrootx1.letsencrypt.org
url,Univision_WL2_137_rollbarus_zendesk_com,api,rollbar-us.zendesk.com
url,Univision_WL2_138_rollout_ada_support,api,rollout.ada.support
url,Univision_WL2_139_rpc_seadc_ccms_teleperformance_com,api,rpc.seadc.ccms.teleperformance.com
url,Univision_WL2_140_rr3sn5axnug5hutl_googlevideo_c,api,rr3---sn-5axnug5-hutl.googlevideo.com
url,Univision_WL2_141_rtb_adentifi_com,api,rtb.adentifi.com
url,Univision_WL2_142_rtb_gumgum_com,api,rtb.gumgum.com
url,Univision_WL2_143_rtb_openx_net,api,rtb.openx.net
url,Univision_WL2_144_rtb0_doubleverify_com,api,rtb0.doubleverify.com
url,Univision_WL2_145_rtb2useast_evolution_ai,api,rtb2-useast.e-volution.ai
url,Univision_WL2_146_rtbccac_doubleverify_com,api,rtbc-cac.doubleverify.com
url,Univision_WL2_147_rtbcsync_smartadserver_com,api,rtb-csync.smartadserver.com
url,Univision_WL2_148_rtd_tubemogul_com,api,rtd.tubemogul.com
url,Univision_WL2_149_rules_quantcount_com,api,rules.quantcount.com
url,Univision_WL2_150_rumintake_logs_datadoghq_com,api,rum-http-intake.logs.datadoghq.com
url,Univision_WL2_151_rwcam_am_zoom_us,api,rwcam.am.zoom.us
url,Univision_WL2_152_rwcct1_cloud_zoom_us,api,rwcct1.cloud.zoom.us
url,Univision_WL2_153_rwcdv_dv_zoom_us,api,rwcdv.dv.zoom.us
url,Univision_WL2_154_rwcfr_fr_zoom_us,api,rwcfr.fr.zoom.us
url,Univision_WL2_155_rwchk_hk_zoom_us,api,rwchk.hk.zoom.us
url,Univision_WL2_156_rwchy_hy_zoom_us,api,rwchy.hy.zoom.us
url,Univision_WL2_157_rwcmb_cloud_zoom_us,api,rwcmb.cloud.zoom.us
url,Univision_WL2_158_rwcny_ny_zoom_us,api,rwcny.ny.zoom.us
url,Univision_WL2_159_rwcprod_zoom_us,api,rwcprod.zoom.us
url,Univision_WL2_160_rwcsc_sc_zoom_us,api,rwcsc.sc.zoom.us
url,Univision_WL2_161_rwcsg_cloud_zoom_us,api,rwcsg.cloud.zoom.us
url,Univision_WL2_162_rwcsp_cloud_zoom_us,api,rwcsp.cloud.zoom.us
url,Univision_WL2_163_rwcsy_sy_zoom_us,api,rwcsy.sy.zoom.us
